ID,ID_icon,card_power,Name,name_es,name_de,name_fr,Type,Rarity,Value,Description,Description_text,Special Effect,AI_Visual_Description,AI_full,AI_Visual_Description_icon,AI_icon,Name_espanol,Description_espanol
mosquito_proboscis,mosquito_proboscis_icon,10,Proboscis,Probóscide,Rüssel,Trompe,attack,rare,6,Deal 6 physical damage,Drains life,Lifesteal,A long needle-like mouthpart from a giant insect with a drop of red blood at the tip.,,A long needle-like mouthpart from a giant insect with a drop of red blood at the tip.. Icon. Simple representation. 8 bit color. 64x64 size. White background,,,
heavy_iron,heavy_iron_icon,10,Heavy Iron,Hierro pesado,Schwereisen,Fer lourd,armor,rare,15,Add 15 armor until next damage,Unbreakable plate,,A solid thick slab of dark iron used as a breastplate with heavy dents.,,A solid thick slab of dark iron used as a breastplate with heavy dents.. Icon. Simple representation. 8 bit color. 64x64 size. White background,,,
echo_essence,echo_essence_icon,10,Echo Essence,Esencia de eco,Echoessenz,Essence d'écho,prepare,rare,0,Repeating energy,Repeating energy,Echo,A pulsing ring of blue light that seems to duplicate itself as it expands.,,A pulsing ring of blue light that seems to duplicate itself as it expands.. Icon. Simple representation. 8 bit color. 64x64 size. White background,,,
electric_gel,electric_gel_icon,10,Electric Gel,Gel eléctrico,Elektrisches Gel,Gel électrique,attack_magic,rare,16,A shocking surprise,A shocking surprise,Stun,A jar of yellow jelly with visible sparks of lightning jumping inside.,,A jar of yellow jelly with visible sparks of lightning jumping inside.. Icon. Simple representation. 8 bit color. 64x64 size. White background,,,
trident_tip,trident_tip_icon,10,Trident Tip,Punta de tridente,Dreizackspitze,Pointe de trident,attack,rare,12,Deal 12 physical damage,Still sharp enough,,A broken-off metal prong from a spear with jagged edges and rust.,,A broken-off metal prong from a spear with jagged edges and rust.. Icon. Simple representation. 8 bit color. 64x64 size. White background,,,
void_scroll,void_scroll_icon,10,Void Scroll,Pergamino del vacío,Leerenschriftrolle,Parchemin du vide,attack_magic,rare,28,Erasure magic,Erasure magic,Erase,A scroll made of pitch-black paper that seems to absorb all nearby color.,,A scroll made of pitch-black paper that seems to absorb all nearby color.. Icon. Simple representation. 8 bit color. 64x64 size. White background,,,
mind_essence,mind_essence_icon,10,Mind Essence,Esencia mental,Geistessenz,Essence d'esprit,prepare,rare,0,Focuses the psyche,Focuses the psyche,Focus,A glowing purple orb that contains a silhouette of a meditating figure.,,A glowing purple orb that contains a silhouette of a meditating figure.. Icon. Simple representation. 8 bit color. 64x64 size. White background,,,
ancient_heart,ancient_heart_icon,10,Ancient Heart,Corazón antiguo,Altes Herz,Cœur ancien,heal,rare,100,Restore 100 health,Beating for eternity,,A massive stone heart that is pulsating with a deep red light.,,A massive stone heart that is pulsating with a deep red light.. Icon. Simple representation. 8 bit color. 64x64 size. White background,,,
obsidian_plate,obsidian_plate_icon,11,Obsidian Plate,Placa de obsidiana,Obsidianplatte,Plaque d'obsidienne,armor,rare,18,Add 18 armor until next damage,Toughest volcanic defense,,A slab of shiny black volcanic glass carved into a chestplate.,,A slab of shiny black volcanic glass carved into a chestplate.. Icon. Simple representation. 8 bit color. 64x64 size. White background,,,
singularity,singularity_icon,11,Singularity,Singularidad,Singularität,Singularité,trap,rare,100,Take 100 damage,The end of all things,Annihilate,A tiny black dot in the center of a swirling galaxy of light and space-time distortions.,,A tiny black dot in the center of a swirling galaxy of light and space-time distortions.. Icon. Simple representation. 8 bit color. 64x64 size. White background,,,
corrupt_data,corrupt_data_icon,11,Corrupt Data,Datos corruptos,Korrupte Daten,Données corrompues,trap,rare,30,Take 30 damage,Digital static,Glitch,A block of floating multicolored squares and static noise that looks broken.,,A block of floating multicolored squares and static noise that looks broken.. Icon. Simple representation. 8 bit color. 64x64 size. White background,,,
void_shard,void_shard_icon,11,Void Shard,Fragmento del vacío,Leerensplitter,Éclat du vide,attack_magic,rare,15,Fractured space,Fractured space,,A jagged crystal that shows a different starry sky inside than the one outside.,,A jagged crystal that shows a different starry sky inside than the one outside.. Icon. Simple representation. 8 bit color. 64x64 size. White background,,,
pure_iron,pure_iron_icon,11,Pure Iron,Hierro puro,Reineisen,Fer pur,armor,rare,14,Add 14 armor until next damage,Refined protection,,A perfectly smooth and shiny block of silver-colored iron.,,A perfectly smooth and shiny block of silver-colored iron.. Icon. Simple representation. 8 bit color. 64x64 size. White background,,,
dying_ember,dying_ember_icon,11,Ember,Brasa,Glut,Braise,attack_fire,rare,5,Deal 5 fire damage,A final flicker,Burn,A small piece of charcoal glowing with a dim orange light and thin smoke.,,A small piece of charcoal glowing with a dim orange light and thin smoke.. Icon. Simple representation. 8 bit color. 64x64 size. White background,,,
molten_core,molten_core_icon,11,Molten Core,Núcleo fundido,Geschmolzener Kern,Noyau fondu,prepare,rare,0,Pulsing heat,Pulsing heat,Charge,A spherical rock with cracks revealing a core of liquid white-hot lava.,,A spherical rock with cracks revealing a core of liquid white-hot lava.. Icon. Simple representation. 8 bit color. 64x64 size. White background,,,
power_cell,power_cell_icon,11,Power Cell,Célula de energía,Energiezelle,Pile à combustible,prepare,rare,0,Battery energized,Battery energized,Charge,A futuristic metallic canister with a glowing blue power level indicator.,,A futuristic metallic canister with a glowing blue power level indicator.. Icon. Simple representation. 8 bit color. 64x64 size. White background,,,
burning_pelt,burning_pelt_icon,11,Burning Pelt,Piel ardiente,Brennendes Fell,Peau brûlante,armor,rare,10,Add 10 armor until next damage,Fiery animal hide,Burn,A pelt of fur that is constantly on fire but does not turn to ash.,,A pelt of fur that is constantly on fire but does not turn to ash.. Icon. Simple representation. 8 bit color. 64x64 size. White background,,,
resistant_wrench,resistant_wrench_icon,12,Heat-Wrench,Gema de azufre,Schwefeledelstein,Gemme de soufre,attack,rare,12,Deal 12 physical damage,Forged in the core.,,A heavy industrial wrench made of glowing red-hot metal with sparks flying from the jaw and heat distortion in the air.,,A heavy industrial wrench made of glowing red-hot metal with sparks flying from the jaw and heat distortion in the air.. Icon. Simple representation. 8 bit color. 64x64 size. White background,,,
burning_fan,burning_fan_icon,12,Burning Fan,Cola de lagarto,Eidechsenschwanz,Queue de lézard,attack_fire,rare,15,Deal 15 fire damage,Waves of heat.,,An ornate folding fan made of orange and red silk that emits a visible wave of shimmering heat and small embers when opened.,,An ornate folding fan made of orange and red silk that emits a visible wave of shimmering heat and small embers when opened.. Icon. Simple representation. 8 bit color. 64x64 size. White background,,,
sulfur_gem,sulfur_gem_icon,12,Sulfur Gem,Monedas de oro,Goldmünzen,Pièces d'or,treasure,rare,45,Smells like eggs.,Smells like eggs.,,A bright yellow jagged crystal sitting in a small cloud of pale yellow gas with a pungent textured surface.,,A bright yellow jagged crystal sitting in a small cloud of pale yellow gas with a pungent textured surface.. Icon. Simple representation. 8 bit color. 64x64 size. White background,,,
overseer_whip,overseer_whip_icon,12,Overseer Whip,Calderilla,Kleingeld,Pièces de monnaie,attack,rare,18,Deal 18 physical damage,Lashes out fiercely.,,A long menacing whip made of braided black leather with small iron barbs embedded along its length and a handle made of bone.,,A long menacing whip made of braided black leather with small iron barbs embedded along its length and a handle made of bone.. Icon. Simple representation. 8 bit color. 64x64 size. White background,,,
wood_splinter,wood_splinter_icon,12,Wood Splinter,Ganzúa,Dietrich,Crochet,trap,rare,2,Take 2 damage,Small but annoying.,,A microscopic extreme close-up of a sharp jagged cedar wood splinter with a needle-like point.,,A microscopic extreme close-up of a sharp jagged cedar wood splinter with a needle-like point.. Icon. Simple representation. 8 bit color. 64x64 size. White background,,,
lizard_tail,lizard_tail_icon,12,Lizard Tail,Chatarra de hierro,Eisenschrott,Ferraille,treasure,rare,3,Still wiggling.,Still wiggling.,,A scaly green reptilian tail lying on a damp stone floor twitching and curling with realistic muscle movement.,,A scaly green reptilian tail lying on a damp stone floor twitching and curling with realistic muscle movement.. Icon. Simple representation. 8 bit color. 64x64 size. White background,,,
gold_coins,gold_coins_icon,12,Gold Coins,Semilla de esmeralda,Smaragdsamen,Graine d'émeraude,treasure,rare,10,A small pile.,A small pile.,,A small scattered heap of embossed gold coins reflecting warm candlelight on a dark wooden table.,,A small scattered heap of embossed gold coins reflecting warm candlelight on a dark wooden table.. Icon. Simple representation. 8 bit color. 64x64 size. White background,,,
spare_change,spare_change_icon,12,Spare Change,Perla blanca,Weiße Perle,Perle blanche,treasure,rare,2,Better than nothing.,Better than nothing.,,A few dull copper and nicked silver coins lying in the palm of a dirt-stained leather glove.,,A few dull copper and nicked silver coins lying in the palm of a dirt-stained leather glove.. Icon. Simple representation. 8 bit color. 64x64 size. White background,,,
lockpick,lockpick_icon,12,Lockpick,Seda de araña,Spinnenseide,Soie d'araignée,utility,rare,0,For the sticky locks.,For the sticky locks.,,A set of professional-grade slender metal lockpicking tools including a tension wrench and a rake on a dark velvet cloth.,,A set of professional-grade slender metal lockpicking tools including a tension wrench and a rake on a dark velvet cloth.. Icon. Simple representation. 8 bit color. 64x64 size. White background,,,
tax_form,tax_form_icon,13,Tax Form,Lágrima congelada,Gefrorene Träne,Larme gelée,trap,rare,5,Take 5 damage,Financial burden.,,A thick stack of official-looking parchment covered in dense red ink seals and complex bureaucratic tables.,,A thick stack of official-looking parchment covered in dense red ink seals and complex bureaucratic tables.. Icon. Simple representation. 8 bit color. 64x64 size. White background,,,
iron_scrap,iron_scrap_icon,13,Iron Scrap,Cristal de sal,Salzkristall,Cristal de sel,treasure,rare,8,Can be smelted.,Can be smelted.,,A pile of rusted iron shards including broken gears and bent plates with a gritty metallic texture.,,A pile of rusted iron shards including broken gears and bent plates with a gritty metallic texture.. Icon. Simple representation. 8 bit color. 64x64 size. White background,,,
stolen_lunch,stolen_lunch_icon,13,Stolen Lunch,Ladrillo de turba,Torfziegel,Brique de tourbe,heal,rare,12,Restore 12 health,Deliciously criminal.,,A crumpled brown paper bag containing a half-eaten ham sandwich and a shiny red apple looking scavenged.,,A crumpled brown paper bag containing a half-eaten ham sandwich and a shiny red apple looking scavenged.. Icon. Simple representation. 8 bit color. 64x64 size. White background,,,
honey,honey_icon,13,Jar of Honey,Vapor etéreo,Ätherischer Dampf,Vapeur éthérée,heal,rare,18,Restore 18 health,Natural sweetness.,,A heavy glass jar filled with amber-colored viscous honey with a wooden honey-dipper resting inside.,,A heavy glass jar filled with amber-colored viscous honey with a wooden honey-dipper resting inside.. Icon. Simple representation. 8 bit color. 64x64 size. White background,,,
shadow_essence,shadow_essence_icon,13,Shadow Essence,Vial de sangre,Blutfläschchen,Fiole de sang,attack_magic,rare,18,Cloaked in darkness.,Cloaked in darkness.,,A swirling globule of absolute black smoke that seems to pull nearby light into a dark vortex.,,A swirling globule of absolute black smoke that seems to pull nearby light into a dark vortex.. Icon. Simple representation. 8 bit color. 64x64 size. White background,,,
emerald_seed,emerald_seed_icon,13,Emerald Seed,Tinta de neón,Neon-Tinte,Encre néon,treasure,rare,60,Grows into wealth.,Grows into wealth.,,A small translucent green seed that glows with an internal light shaped like a multifaceted gem.,,A small translucent green seed that glows with an internal light shaped like a multifaceted gem.. Icon. Simple representation. 8 bit color. 64x64 size. White background,,,
tangled_vine,tangled_vine_icon,13,Tangled Vine,Doblón de oro,Golddublone,Doublon d'or,trap,rare,8,Take 8 damage,Trips the unwary.,,A thick knot of thorny dark green vines coiled tightly on the ground hidden by forest floor debris.,,A thick knot of thorny dark green vines coiled tightly on the ground hidden by forest floor debris.. Icon. Simple representation. 8 bit color. 64x64 size. White background,,,
glowing_mushroom,glowing_mushroom_icon,13,Mushroom,Aceite de ballena,Walöl,Huile de baleine,heal,rare,7,Restore 7 health,Bioluminescent snack.,,A cluster of vibrant neon blue mushrooms with glowing white dots growing on a piece of rotting damp wood.,,A cluster of vibrant neon blue mushrooms with glowing white dots growing on a piece of rotting damp wood.. Icon. Simple representation. 8 bit color. 64x64 size. White background,,,
pearl,pearl_icon,13,White Pearl,Azufre en bruto,Rohschwefel,Soufre brut,treasure,rare,100,Perfectly spherical.,Perfectly spherical.,,A large flawless iridescent white pearl reflecting a rainbow of soft colors sitting on a bed of blue silk.,,A large flawless iridescent white pearl reflecting a rainbow of soft colors sitting on a bed of blue silk.. Icon. Simple representation. 8 bit color. 64x64 size. White background,,,
spider_silk,spider_silk_icon,14,Spider Silk,Biolámpara,Biolampe,Biolampe,utility,rare,0,Stronger than steel.,Stronger than steel.,,A spool of shimmering translucent white silk thread that is incredibly fine yet looks remarkably strong.,,A spool of shimmering translucent white silk thread that is incredibly fine yet looks remarkably strong.. Icon. Simple representation. 8 bit color. 64x64 size. White background,,,
venom_gland,venom_gland_icon,14,Venom Gland,Lágrima del océano,Ozeanträne,Larme de l'océan,attack,rare,13,Deal 13 physical damage,Raw natural toxin.,,An organic fleshy organ that is bright green and pulsating with a single drop of neon toxin at the tip.,,An organic fleshy organ that is bright green and pulsating with a single drop of neon toxin at the tip.. Icon. Simple representation. 8 bit color. 64x64 size. White background,,,
frozen_tear,frozen_tear_icon,14,Frozen Tear,Llave maestra,Generalschlüssel,Passe-partout,treasure,rare,40,Cold sorrow.,Cold sorrow.,,A teardrop-shaped crystal of ice that is perfectly clear and emits a constant trail of freezing white mist.,,A teardrop-shaped crystal of ice that is perfectly clear and emits a constant trail of freezing white mist.. Icon. Simple representation. 8 bit color. 64x64 size. White background,,,
carapace,carapace_icon,14,Beetle Carapace,Espejo oscuro,Dunkler Spiegel,Miroir sombre,armor,rare,11,Add 11 armor until next damage,Chitinous armor.,,A segment of high-gloss black insect shell that is thick and slightly iridescent like a scarab beetle.,,A segment of high-gloss black insect shell that is thick and slightly iridescent like a scarab beetle.. Icon. Simple representation. 8 bit color. 64x64 size. White background,,,
rotten_flesh,rotten_flesh_icon,14,Rotten Flesh,Lengua amortiguada,Gedämpfte Zunge,Langue étouffée,trap,rare,12,Take 12 damage,Smells of decay.,,A piece of graying putrid meat with visible decay and green flies circling it in a dark alley.,,A piece of graying putrid meat with visible decay and green flies circling it in a dark alley.. Icon. Simple representation. 8 bit color. 64x64 size. White background,,,
salt_crystal,salt_crystal_icon,14,Salt Crystal,Esencia de nube,Wolkenessenz,Essence de nuage,utility,rare,2,Purifying properties.,Purifying properties.,,A large cube of semi-transparent white rock salt with sharp edges and a rough crystalline texture.,,A large cube of semi-transparent white rock salt with sharp edges and a rough crystalline texture.. Icon. Simple representation. 8 bit color. 64x64 size. White background,,,
glass_shard,glass_shard_icon,14,Glass Shard,Polvo de azufre,Schwefelstaub,Poussière de soufre,attack,rare,9,Deal 9 physical damage,Don't cut yourself.,,A jagged triangular piece of broken mirror glass reflecting a distorted image with blood on the tip.,,A jagged triangular piece of broken mirror glass reflecting a distorted image with blood on the tip.. Icon. Simple representation. 8 bit color. 64x64 size. White background,,,
peat_brick,peat_brick_icon,14,Peat Brick,,,,utility,epic,0,Good fuel source.,Good fuel source.,,A dense rectangular block of dried dark brown earth and compressed moss with a fibrous texture.,,A dense rectangular block of dried dark brown earth and compressed moss with a fibrous texture.. Icon. Simple representation. 8 bit color. 64x64 size. White background,,,
light_dust,light_dust_icon,14,Light Dust,,,,prepare,epic,0,Sparkles with energy.,Sparkles with energy.,,A handful of glowing golden particles floating in the air like tiny sunlit dust motes.,,A handful of glowing golden particles floating in the air like tiny sunlit dust motes.. Icon. Simple representation. 8 bit color. 64x64 size. White background,,,
ethereal_vapor,ethereal_vapor_icon,15,Ethereal Vapor,,,,utility,epic,0,Hard to grasp.,Hard to grasp.,,A jar containing a swirling white mist that takes the vague shape of a hand reaching out.,,A jar containing a swirling white mist that takes the vague shape of a hand reaching out.. Icon. Simple representation. 8 bit color. 64x64 size. White background,,,
blood_vial,blood_vial_icon,15,Blood Vial,,,,utility,epic,0,Sanguine fluid.,Sanguine fluid.,,A small glass vial filled with deep crimson liquid and a wax seal on the cork.,,A small glass vial filled with deep crimson liquid and a wax seal on the cork.. Icon. Simple representation. 8 bit color. 64x64 size. White background,,,
rusty_nail,rusty_nail_icon,15,Rusty Nail,,,,attack,epic,4,Deal 4 physical damage,Watch for tetanus.,,A long iron nail covered in thick flaky orange rust with a slightly bent and very sharp point.,,A long iron nail covered in thick flaky orange rust with a slightly bent and very sharp point.. Icon. Simple representation. 8 bit color. 64x64 size. White background,,,
green_slime,green_slime_icon,15,Green Slime,,,,trap,epic,5,Take 5 damage,Sticky and gross.,,A puddle of translucent vibrant green goo that is thick and dripping from a stone edge.,,A puddle of translucent vibrant green goo that is thick and dripping from a stone edge.. Icon. Simple representation. 8 bit color. 64x64 size. White background,,,
mosquito_proboscis,mosquito_proboscis_icon,15,Proboscis,,,,attack,epic,6,Deal 6 physical damage,Drains life.,,A long needle-like insect mouthpart that is hollow and stained with a drop of red fluid.,,A long needle-like insect mouthpart that is hollow and stained with a drop of red fluid.. Icon. Simple representation. 8 bit color. 64x64 size. White background,,,
heavy_iron,heavy_iron_icon,15,Heavy Iron,,,,armor,epic,15,Add 15 armor until next damage,Unbreakable plate.,,A solid thick slab of dark grey iron with heavy hammer marks and a massive weight.,,A solid thick slab of dark grey iron with heavy hammer marks and a massive weight.. Icon. Simple representation. 8 bit color. 64x64 size. White background,,,
neon_ink,neon_ink_icon,15,Neon Ink,,,,treasure,epic,35,Glows in the dark.,Glows in the dark.,,A small inkpot filled with glowing magenta liquid that illuminates the parchment next to it.,,A small inkpot filled with glowing magenta liquid that illuminates the parchment next to it.. Icon. Simple representation. 8 bit color. 64x64 size. White background,,,
gold_doubloon,gold_doubloon_icon,15,Gold Doubloon,,,,treasure,epic,30,Pirate's treasure.,Pirate's treasure.,,A large weathered gold coin with a stamped skull and crossed swords and worn edges.,,A large weathered gold coin with a stamped skull and crossed swords and worn edges.. Icon. Simple representation. 8 bit color. 64x64 size. White background,,,
whale_oil,whale_oil_icon,15,Whale Oil,,,,utility,epic,0,Burns for hours.,Burns for hours.,,A ceramic jug filled with thick yellowish oil and a small wick showing a steady bright flame.,,A ceramic jug filled with thick yellowish oil and a small wick showing a steady bright flame.. Icon. Simple representation. 8 bit color. 64x64 size. White background,,,
raw_sulfur,raw_sulfur_icon,16,Raw Sulfur,,,,utility,epic,0,Pungent mineral.,Pungent mineral.,,A chunk of raw yellow volcanic rock that looks crumbly and is surrounded by a faint haze.,,A chunk of raw yellow volcanic rock that looks crumbly and is surrounded by a faint haze.. Icon. Simple representation. 8 bit color. 64x64 size. White background,,,
echo_essence,echo_essence_icon,16,Echo Essence,,,,prepare,epic,0,Repeating energy.,Repeating energy.,,A series of concentric blue light rings that pulse outward and leave faint translucent copies of themselves.,,A series of concentric blue light rings that pulse outward and leave faint translucent copies of themselves.. Icon. Simple representation. 8 bit color. 64x64 size. White background,,,
biolamp,biolamp_icon,16,Biolamp,,,,utility,epic,0,A living lantern.,A living lantern.,,A wooden lantern cage containing a large glowing green firefly that lights up the dark forest path.,,A wooden lantern cage containing a large glowing green firefly that lights up the dark forest path.. Icon. Simple representation. 8 bit color. 64x64 size. White background,,,
electric_gel,electric_gel_icon,16,Electric Gel,,,,attack_magic,epic,16,A shocking surprise.,A shocking surprise.,,A jar of yellow jelly that has visible arcs of blue electricity jumping between the walls of the glass.,,A jar of yellow jelly that has visible arcs of blue electricity jumping between the walls of the glass.. Icon. Simple representation. 8 bit color. 64x64 size. White background,,,
trident_tip,trident_tip_icon,16,Trident Tip,,,,attack,epic,12,Deal 12 physical damage,Still sharp enough.,,A broken metal prong from a trident with three sharp points and saltwater corrosion.,,A broken metal prong from a trident with three sharp points and saltwater corrosion.. Icon. Simple representation. 8 bit color. 64x64 size. White background,,,
ocean_tear,ocean_tear_icon,16,Ocean Tear,,,,treasure,epic,85,Gem from the deep.,Gem from the deep.,,A deep blue sapphire-like gem that has a moving liquid center resembling a storm at sea.,,A deep blue sapphire-like gem that has a moving liquid center resembling a storm at sea.. Icon. Simple representation. 8 bit color. 64x64 size. White background,,,
void_scroll,void_scroll_icon,16,Void Scroll,,,,attack_magic,epic,28,Erasure magic.,Erasure magic.,,A scroll made of pitch-black paper that seems to absorb the light from the candles around it.,,A scroll made of pitch-black paper that seems to absorb the light from the candles around it.. Icon. Simple representation. 8 bit color. 64x64 size. White background,,,
mind_essence,mind_essence_icon,16,Mind Essence,,,,prepare,epic,0,Focuses the psyche.,Focuses the psyche.,,A floating glowing purple orb that reveals a complex neural network of golden light inside.,,A floating glowing purple orb that reveals a complex neural network of golden light inside.. Icon. Simple representation. 8 bit color. 64x64 size. White background,,,
ancient_heart,ancient_heart_icon,16,Ancient Heart,,,,heal,epic,100,Restore 100 health,Beating for eternity.,,A massive stone heart that is glowing with a deep rhythmic red light and is covered in vines.,,A massive stone heart that is glowing with a deep rhythmic red light and is covered in vines.. Icon. Simple representation. 8 bit color. 64x64 size. White background,,,
obsidian_plate,obsidian_plate_icon,17,Obsidian Plate,,,,armor,epic,18,Add 18 armor until next damage,Toughest volcanic defense.,,A chestplate made of polished black volcanic glass that reflects the environment like a dark mirror.,,A chestplate made of polished black volcanic glass that reflects the environment like a dark mirror.. Icon. Simple representation. 8 bit color. 64x64 size. White background,,,
master_key,master_key_icon,17,Master Key,,,,utility,epic,0,Opens any lock.,Opens any lock.,,A large ornate golden key with a complex multifaceted bit and a handle shaped like a crown.,,A large ornate golden key with a complex multifaceted bit and a handle shaped like a crown.. Icon. Simple representation. 8 bit color. 64x64 size. White background,,,
singularity,singularity_icon,17,Singularity,,,,trap,epic,100,Take 100 damage,The end of all things.,,A tiny pinprick of infinite blackness in the center of a swirling disk of white and purple light.,,A tiny pinprick of infinite blackness in the center of a swirling disk of white and purple light.. Icon. Simple representation. 8 bit color. 64x64 size. White background,,,
dark_mirror,dark_mirror_icon,17,Dark Mirror,,,,utility,epic,0,Reflects the void.,Reflects the void.,,A hand mirror with a silver frame that shows a desolate gray landscape instead of the viewer's face.,,A hand mirror with a silver frame that shows a desolate gray landscape instead of the viewer's face.. Icon. Simple representation. 8 bit color. 64x64 size. White background,,,
corrupt_data,corrupt_data_icon,17,Corrupt Data,,,,trap,epic,30,Take 30 damage,Digital static.,,A floating cube of colorful digital noise and flickering neon squares that look broken and unstable.,,A floating cube of colorful digital noise and flickering neon squares that look broken and unstable.. Icon. Simple representation. 8 bit color. 64x64 size. White background,,,
void_shard,void_shard_icon,17,Void Shard,,,,attack_magic,epic,15,Fractured space.,Fractured space.,,A shard of glass that contains a window into deep space with distant nebulae and stars.,,A shard of glass that contains a window into deep space with distant nebulae and stars.. Icon. Simple representation. 8 bit color. 64x64 size. White background,,,
muffled_tongue,muffled_tongue_icon,17,Muffled Tongue,,,,utility,epic,0,Silences the room.,Silences the room.,,A grey dried tongue wrapped in layers of black silk cloth that seems to dampen all sound.,,A grey dried tongue wrapped in layers of black silk cloth that seems to dampen all sound.. Icon. Simple representation. 8 bit color. 64x64 size. White background,,,
cloud_essence,cloud_essence_icon,17,Cloud Essence,,,,utility,unique,0,Lighter than air.,Lighter than air.,,A glass bottle containing a small swirling white cloud that is trying to float out of the container.,,A glass bottle containing a small swirling white cloud that is trying to float out of the container.. Icon. Simple representation. 8 bit color. 64x64 size. White background,,,
pure_iron,pure_iron_icon,17,Pure Iron,,,,armor,unique,14,Add 14 armor until next damage,Refined protection.,,A perfectly smooth block of silver-toned iron with zero rust and a high-tech refined finish.,,A perfectly smooth block of silver-toned iron with zero rust and a high-tech refined finish.. Icon. Simple representation. 8 bit color. 64x64 size. White background,,,
dying_ember,dying_ember_icon,18,Ember,,,,attack_fire,unique,5,Deal 5 fire damage,A final flicker.,,A small piece of wood charcoal that is mostly ash but has one bright orange spot of heat left.,,A small piece of wood charcoal that is mostly ash but has one bright orange spot of heat left.. Icon. Simple representation. 8 bit color. 64x64 size. White background,,,
sulfur_dust,sulfur_dust_icon,18,Sulfur Dust,,,,utility,unique,0,Highly explosive.,Highly explosive.,,A pile of fine yellow powder with a single small fuse sticking out of it.,,A pile of fine yellow powder with a single small fuse sticking out of it.. Icon. Simple representation. 8 bit color. 64x64 size. White background,,,
molten_core,molten_core_icon,18,Molten Core,,,,prepare,unique,0,Pulsing heat.,Pulsing heat.,,A heavy stone shell with wide cracks showing a liquid white-hot center that is dripping lava.,,A heavy stone shell with wide cracks showing a liquid white-hot center that is dripping lava.. Icon. Simple representation. 8 bit color. 64x64 size. White background,,,
power_cell,power_cell_icon,18,Power Cell,,,,prepare,unique,0,Battery energized.,Battery energized.,,A cylindrical metallic battery with a glowing blue strip indicating it is fully charged.,,A cylindrical metallic battery with a glowing blue strip indicating it is fully charged.. Icon. Simple representation. 8 bit color. 64x64 size. White background,,,
burning_pelt,burning_pelt_icon,18,Burning Pelt,,,,armor,unique,10,Add 10 armor until next damage,Fiery animal hide.,,A thick bear fur hide that is engulfed in orange flames but remains unconsumed and intact.,,A thick bear fur hide that is engulfed in orange flames but remains unconsumed and intact.. Icon. Simple representation. 8 bit color. 64x64 size. White background,,,
